"id","title","pid","status"
"1","安全技术","0","2"
"2","存储","0","2"
"3","操作系统","0","2"
"4","服务器应用","0","2"
"5","行业","0","2"
"6","课程资源","0","2"
"7","开发技术","0","2"
"8","考试认证","0","2"
"9","数据库","0","2"
"10","网络技术","0","2"
"11","信息化","0","2"
"12","移动开发","0","2"
"13","云计算","0","2"
"14","大数据","0","2"
"15","跨平台","0","2"
"16","音视频","0","2"
"17","游戏开发","0","2"
"18","人工智能","0","2"
"19","区块链","0","2"
"20","网络攻防","1","2"
"21","网络安全","1","2"
"22","系统安全","1","2"
"23","其它","1","2"
"24","Dell","2","2"
"25","EMC","2","2"
"26","HP","2","2"
"27","IBM","2","2"
"28","Microsoft","2","2"
"29","SUN","2","2"
"30","Veritas","2","2"
"31","其它","2","2"
"32","DOS","3","2"
"33","Linux","3","2"
"34","MacOS","3","2"
"35","OS","3","2"
"36","Solaris","3","2"
"37","Ubuntu","3","2"
"38","Unix","3","2"
"39","Windows Server","3","2"
"40","桌面系统","3","2"
"41","其它","3","2"
"42","DNS","4","2"
"43","FTP","4","2"
"44","Mail服务器","4","2"
"45","Proxy","4","2"
"46","VPN","4","2"
"47","Web服务器","4","2"
"48","群集服务","4","2"
"49","虚拟化","4","2"
"50","其它","4","2"
"51","餐饮零售","5","2"
"52","电信","5","2"
"53","电子政务","5","2"
"54","互联网","5","2"
"55","交通","5","2"
"56","教育","5","2"
"57","金融","5","2"
"58","旅游","5","2"
"59","嵌入式","5","2"
"60","外包","5","2"
"61","网络游戏","5","2"
"62","物流","5","2"
"63","医疗","5","2"
"64","制造","5","2"
"65","咨询","5","2"
"66","5G/移动开发","6","2"
"67","C/C++","6","2"
"68","Java","6","2"
"69",".Net","6","2"
"70","PHP","6","2"
"71","嵌入式","6","2"
"72","软件测试","6","2"
"73","数据库","6","2"
"74","网络管理","6","2"
"75","网页制作","6","2"
"76","游戏开发","6","2"
"77","专业指导","6","2"
"78","讲义","6","2"
"79","Actionscript","7","2"
"80","C","7","2"
"81","C#","7","2"
"82","C++","7","2"
"83","Delphi","7","2"
"84","Java","7","2"
"85","Javascript","7","2"
"86","Perl","7","2"
"87","PHP","7","2"
"88","Python","7","2"
"89","VB","7","2"
"90","Web开发","7","2"
"91","硬件开发","7","2"
"92","其它","7","2"
"93","微软认证","8","2"
"94","思科认证","8","2"
"95","华为认证","8","2"
"96","Oracle认证","8","2"
"97","Linux/Unix认证","8","2"
"98","软考等考","8","2"
"99","其它","8","2"
"100","Access","9","2"
"101","DB2","9","2"
"102","Informix","9","2"
"103","Memcached","9","2"
"104","MongoDB","9","2"
"105","MySQL","9","2"
"106","Oracle","9","2"
"107","PostgreSQL","9","2"
"108","Redis","9","2"
"109","SQLite","9","2"
"110","SQLServer Sybase","9","2"
"111","Greenplum","9","2"
"112","其它","9","2"
"113","网管软件","10","2"
"114","网络基础","10","2"
"115","网络监控","10","2"
"116","网络设备","10","2"
"117","系统集成","10","2"
"118","综合布线","10","2"
"119","其它","10","2"
"120","电子商务","11","2"
"121","管理软件","11","2"
"122","IT管理","11","2"
"123","企业管理","11","2"
"124","项目管理","11","2"
"125","其它","11","2"
"126","Android","12","2"
"127","bada","12","2"
"128","BlackBerry","12","2"
"129","Flash","12","2"
"130","HTML5","12","2"
"131","iOS","12","2"
"132","JavaME","12","2"
"133","MeeGo","12","2"
"134","QT","12","2"
"135","Symbian","12","2"
"136","webOS","12","2"
"137","WindowsPhone","12","2"
"138","小程序","12","2"
"139","其它","12","2"
"140","kubernetes","13","2"
"141","mesos","13","2"
"142","Docker","13","2"
"143","微服务","13","2"
"144","Openstack","13","2"
"145","平台管理","13","2"
"146","spark","14","2"
"147","Hadoop","14","2"
"148","Hbase","14","2"
"149","Hive","14","2"
"150","Netty","14","2"
"151","flink","14","2"
"152","算法与数据结构","14","2"
"153","kafka","14","2"
"154","Storm","14","2"
"155","ReactNative","15","2"
"156","PhoneGap","15","2"
"157","Cordova","15","2"
"158","CrossAPP","15","2"
"159","Weex","15","2"
"160","APICloud","15","2"
"161","WeX5","15","2"
"162","编解码","16","2"
"163","直播技术","16","2"
"164","图像处理","16","2"
"165","cocos2D","17","2"
"166","Unity3D","17","2"
"167","其他","17","2"
"168","机器学习","18","2"
"169","深度学习","18","2"
"170","搜索引擎","18","2"
"171","计算广告","18","2"
"172","VR","18","2"
"173","比特币","19","2"
"174","以太坊","19","2"
"175","奇亚Chia","19","2"
